reward,action,step
-24.27975,-1.8393750000000002,0
-24.1693875,-1.8393749999999998,1
-16.92429375,-1.430625,2
0.0,0.0,3
0.0,0.0,4
0.0,0.0,5
-0.0,-0.0,6
-0.0,-0.0,7
-0.0,-0.0,8
-0.0,-0.0,9
-0.0,-0.0,10
-0.0,-0.0,11
-0.0,-0.0,12
-0.0,-0.0,13
-0.0,-0.0,14
-0.0,-0.0,15
-0.0,-0.0,16
-0.0,-0.0,17
-0.0,-0.0,18
-0.0,-0.0,19
-0.0,-0.0,20
-0.0,-0.0,21
-0.0,-0.0,22
-0.0,-0.0,23
-0.0,-0.0,24
-0.0,-0.0,25
0.0,0.0,26
0.0,0.0,27
0.0,0.0,28
-0.0,-0.0,29
-0.0,-0.0,30
-0.0,-0.0,31
-0.0,-0.0,32
-0.0,-0.0,33
0.0,0.0,34
59.18520149999999,1.32435,35
62.24444999999999,1.32435,36
54.497002499999994,1.32435,37
0.0,0.0,38
0.0,0.0,39
0.0,0.0,40
62.032554,1.32435,41
74.81253149999999,1.3243499999999997,42
41.2387875,0.73575,43
0.0,0.0,44
0.0,0.0,45
0.0,0.0,46
0.0,0.0,47
0.0,0.0,48
-58.8232125,-1.839375,49
-55.18125,-1.839375,50
-49.79188125,-1.839375,51
-35.2792125,-1.839375,52
-32.20745625,-1.8393749999999998,53
-17.402531250000003,-1.021875,54
0.0,0.0,55
0.0,0.0,56
0.0,0.0,57
52.974,1.32435,58
58.509783,1.32435,59
62.5225635,1.32435,60
55.02674249999999,1.32435,61
48.391749,1.32435,62
0.0,0.0,63
0.0,0.0,64
32.81445,0.73575,65
0.0,0.0,66
0.0,0.0,67
0.0,0.0,68
0.0,0.0,69
0.0,0.0,70
0.0,0.0,71
0.0,0.0,72
-61.563881249999994,-1.839375,73
-51.5025,-1.839375,74
-39.16029375,-1.8393750000000002,75
-31.122225000000004,-1.839375,76
-51.5025,-1.839375,77
0.0,0.0,78
78.75909449999999,1.32435,79
79.10342549999999,1.32435,80
82.24213499999999,1.32435,81
83.089719,1.32435,82
82.97052749999999,1.32435,83
0.0,0.0,84
0.0,0.0,85
0.0,0.0,86
0.0,0.0,87
0.0,0.0,88
0.0,0.0,89
0.0,0.0,90
0.0,0.0,91
0.0,0.0,92
0.0,0.0,93
0.0,0.0,94
0.0,0.0,95
0.0,0.0,96
-70.09858125,-1.839375,97
-55.16285625,-1.839375,98
-53.17633125,-1.839375,99
-49.663125,-1.839375,100
-54.371925,-1.839375,101
54.21888899999999,1.32435,102
72.83924999999999,1.32435,103
73.501425,1.32435,104
75.620385,1.32435,105
75.48795,1.32435,106
0.0,0.0,107
0.0,0.0,108
0.0,0.0,109
0.0,0.0,110
0.0,0.0,111
0.0,0.0,112
0.0,0.0,113
0.0,0.0,114
0.0,0.0,115
0.0,0.0,116
0.0,0.0,117
0.0,0.0,118
0.0,0.0,119
0.0,0.0,120
0.0,0.0,121
0.0,0.0,122
0.0,0.0,123
-59.7796875,-1.839375,124
0.0,0.0,125
68.45565149999999,1.32435,126
0.0,0.0,127
0.0,0.0,128
0.0,0.0,129
0.0,0.0,130
0.0,0.0,131
0.0,0.0,132
0.0,0.0,133
0.0,0.0,134
0.0,0.0,135
0.0,0.0,136
0.0,0.0,137
0.0,0.0,138
0.0,0.0,139
0.0,0.0,140
0.0,0.0,141
0.0,0.0,142
0.0,0.0,143
0.0,0.0,144
