reward,action,step
-24.27975,-1.8393750000000002,0
-24.1693875,-1.8393749999999998,1
-16.92429375,-1.430625,2
0.0,0.0,3
0.0,0.0,4
0.0,0.0,5
0.0,0.0,6
0.0,0.0,7
0.0,0.0,8
-0.0,-0.0,9
-0.0,-0.0,10
-0.0,-0.0,11
-0.0,-0.0,12
-0.0,-0.0,13
-0.0,-0.0,14
-0.0,-0.0,15
-0.0,-0.0,16
-0.0,-0.0,17
-0.0,-0.0,18
-0.0,-0.0,19
-0.0,-0.0,20
-0.0,-0.0,21
-0.0,-0.0,22
-0.0,-0.0,23
-0.0,-0.0,24
-0.0,-0.0,25
0.0,0.0,26
0.0,0.0,27
0.0,0.0,28
0.0,0.0,29
0.0,0.0,30
0.0,0.0,31
0.0,0.0,32
0.0,0.0,33
0.0,0.0,34
0.0,0.0,35
0.0,0.0,36
0.0,0.0,37
-0.0,-0.0,38
-0.0,-0.0,39
-0.0,-0.0,40
-0.0,-0.0,41
74.81253149999999,1.3243499999999997,42
74.2298175,1.32435,43
60.25792499999999,1.32435,44
0.0,0.0,45
0.0,0.0,46
0.0,0.0,47
0.0,0.0,48
0.0,0.0,49
-55.18125,-1.839375,50
-49.79188125,-1.839375,51
-35.2792125,-1.839375,52
0.0,0.0,53
0.0,0.0,54
0.0,0.0,55
0.0,0.0,56
0.0,0.0,57
0.0,0.0,58
0.0,0.0,59
0.0,0.0,60
0.0,0.0,61
-0.0,-0.0,62
-0.0,-0.0,63
-0.0,-0.0,64
-0.0,-0.0,65
75.2892975,1.3243500000000001,66
76.4812125,1.32435,67
65.76722099999999,1.32435,68
0.0,0.0,69
0.0,0.0,70
0.0,0.0,71
0.0,0.0,72
0.0,0.0,73
-51.5025,-1.839375,74
-39.16029375,-1.8393750000000002,75
-31.122225000000004,-1.839375,76
0.0,0.0,77
0.0,0.0,78
0.0,0.0,79
0.0,0.0,80
82.24213499999999,1.32435,81
83.089719,1.32435,82
0.0,0.0,83
0.0,0.0,84
0.0,0.0,85
0.0,0.0,86
0.0,0.0,87
0.0,0.0,88
94.1745285,1.32435,89
104.31904949999999,1.32435,90
85.367601,1.32435,91
37.324597499999996,0.73575,92
0.0,0.0,93
0.0,0.0,94
0.0,0.0,95
0.0,0.0,96
0.0,0.0,97
-55.16285625,-1.839375,98
-53.17633125,-1.839375,99
-49.663125,-1.839375,100
-54.371925,-1.839375,101
-75.3040125,-1.839375,102
0.0,0.0,103
0.0,0.0,104
0.0,0.0,105
75.48795,1.32435,106
0.0,0.0,107
0.0,0.0,108
0.0,0.0,109
0.0,0.0,110
0.0,0.0,111
0.0,0.0,112
88.99632,1.32435,113
82.10969999999999,1.32435,114
72.83924999999999,1.32435,115
65.555325,1.32435,116
0.0,0.0,117
0.0,0.0,118
0.0,0.0,119
0.0,0.0,120
0.0,0.0,121
-75.87421875,-1.839375,122
-68.27759999999999,-1.839375,123
-59.7796875,-1.839375,124
-72.6553125,-1.8393749999999998,125
0.0,0.0,126
0.0,0.0,127
0.0,0.0,128
0.0,0.0,129
0.0,0.0,130
90.26769599999999,1.32435,131
0.0,0.0,132
0.0,0.0,133
0.0,0.0,134
0.0,0.0,135
0.0,0.0,136
88.7182065,1.32435,137
99.32624999999999,1.32435,138
75.355515,1.32435,139
0.0,0.0,140
0.0,0.0,141
0.0,0.0,142
0.0,0.0,143
0.0,0.0,144
0.0,0.0,145
